Date,Content
2021-12-01 6:43:00,"Pertama kali main disini dan pro disini lama"" ngerasa ada yang aneh dan nga kuat akhir nya pindah ke platform B,Parahh aslilahh 1x,2x dan akhirnya berkali"" kalau lagi harga tinggi pasti error, suka ngelist coin yang nga ada fungsinya yg ujung nya bakal di delist, Suka ngelist coin baru pas lagi tinggi""nya. Kasihan orang"" awam yang baru gabung."
2021-11-30 13:31:30,YA ampun platform terbesar di indonesia masih bisa2nya kena tipu. Koin Vidy Vidyx aset masa depan di hold lama malah di delist trus uangnya dikemanain semuanya. Baru download tiba2 koin hilang semua. Astaga kecewa bgt. Dahlah bintang 1 cocok kok ini buat aplikasi.
2021-12-01 5:58:21,"Indodax sehat???,..... 4hari terakhir ini gx bisa log in, selalu disuruhnya masukan pin,....? berkali2 donlot ulang aplikasi tetap saja sama. klo gx suport sama android 11. Mending didepak aja dari playstore."
2021-11-05 0:52:06,"Setelah pembaruan malah ngaco indodax ini 1w isinya 1th 3D isinya ???? Dst Why????? Blm siap kok mau update, hmm.. Gopay, mana??q masuk menu gak tersambung tuh sama gopay nya"
2021-11-23 12:02:41,"Sangat mengewakan deposit saya dari tgl 28 okt 2021 sampai saat ini belum masuk juga, saya disuruh menunggu 15 hari kerja sampai saat ini tidak ada laporan balik kesaya...sungguh terlalu ribet cs pelayannya saya email selalu jawaban nya menunggu dan menunggu........."
2021-12-01 10:06:23,"Buat yang belum download saya saranin ga usah dah doenload indodax , sangat"" merugikan , sering maintenance dah sampai ada koin yang kita beli di indodax tapi tidak bisa di jual kembali ... Inikah exchange no 1 indonesia ????🥱"
2021-11-18 1:46:10,"Tolong dibantu saya udah 1minggu nunggu proses laporan saya WD koin ke dompet(Trust wallet) saya tapi belom diterima sampai saat ini padahal di apk succes, saya cek di bscscan txn nya gaada dan saya cek yg sebelumnya ada semua. Saya sudah coba email kembali namun tidak ada respon sama sekali. Sampai laporannya selesai baru ulasannya saya perbaiki."
2021-11-20 1:17:23,"Susah ber urusan dengan indodax,saya kena tipu,malah ga ada bantuan dari indodax sedangkan bukti2 ada tidak ada dilayani disuruh nunggu terus,bikin laporan kepolisian tim indodax ga ada respon cepat cumn dsruh nunggu,sdangkan akun penerima dana sdah dibebukakan apa dan dananya ada ,apa susahnya dikembalikan kesaya"
2021-12-01 7:41:23,"Bintang 1 aja,secara keseluruhan sudah baik semua cuma biaya penarikan ke rekeninh terlalu mahal,masa biaya penarikan nya 25.000 kalah sama tokocrypto yg hanya 5000 an"
2021-11-30 14:12:48,Indodax tidak bisa di percaya ... Maaf sebelumnya ..saya beli koin emang tidak banyak harganya pun murah. Buat pelajaran aja .untung masih beli murah gak banyak uang keluar ..tiba tiba kok coinya di hapus apa maksud nya .udah membelu koin tapi kok di hapus ..punya daya harga memang murah tapi itu buat pelajaran .. apalagi beli coin yg mahal gimana coba??.siapa yg tanggung jawab .. Yg iinginn dan yg ingin main indodax mohon di pikirkan dulu ..pelajaran aja ini ..makasih
2021-11-22 14:25:00,"Plis di perbaiki loading lama banget, coin turun baru bisa lancar, kan jadi kesel nunggu coin naik lama banget sekalinya mau cekout malah loading jadi gak dapet."
2021-12-01 13:07:23,"Aplikasi nya dah kaya calo, Beli Crypto diharga yg sama masih aja pending giliran turun langsung kebeli giliran naik ya bgtu gak jadi kebeli, jadi nunggu rugi dulu baru bisa beli wkwkwk, Calooo caloo"
2021-11-26 9:02:25,Benerin riwayat transaksi akun ku...rugi aku gara2 bug ni....di bikin full online napa aplikasi nya....jangan hrus reload2 cuma mau tau harga pasar.....
2021-11-30 13:07:12,"Tolong min saldo saya kekuras habis, pertama habis jual koin VIDY tp belum di kofirmasi 2 minggu lebih, dan sekarang habis saldo saya."
2021-11-20 6:40:00,Inodax ada apa dengan dirimu hari ini..? Loading lama sekali..' menjawab pertanya'an di live chat pun lama sekali seperti antrian tiket sepak bola.
2021-11-26 14:37:46,"Market Ampas, bisa2nya nggejual aset yang ngga jelas, nggapain listing di buat dan akhirnya scamm, pakai bilang market nomer satu dan terpercaya"
2021-11-06 10:31:17,"Kirim koin ke trust wallet gagal mulu ? Ada apa gerangan indodax? Mau sampe kapan maintenance? G beres nih indodax, mending uninstal aja.. Jangan pakai aplikasi ini, buat pengalaman yg lain Koin jg banyak yg maintenance, g profesional"
2021-12-01 8:02:12,"Mengecewakan sekali, Mau tarik tunai masih belum cair. Udah potongannya gede tapi lelet. Nyusahin nasabah Broo.."
2021-11-27 7:22:25,"Kenapa aplikasi nya ga bisa d buka ,, cuma sampe masukin pin tapi ga terbuka aplikasibnya ?????"
2021-11-30 1:23:49,Ini merugikan saya... Habis maintance coin yg saya buy sdh tdk ada lagi...yg terjadi sya rugi.... Ini penipuan..
2021-11-26 13:24:13,Bulan Oktober sudah diperingatkan OJK baru hari ini pengumuman delist. Informasi hanya untuk broker aja ya? Ngotak dikit kau.
2021-11-28 0:26:18,"APK Banyak Koin Scam Merugikan, Manipulasi Candel klau naik harus beli tapi klau turun bisa sndiri. Aneh. Jgn main lagi lah yg menang hnya bandar dn Indodax, udh diseting. Oh ya giliran ngefud yg scam malah di Ban. Emang ini apk penipu."
2021-11-17 0:34:36,"Halo mengapa permohonan saya belum di ACC,kenapa akun indodax saya tiba tiba keluar sendiri terus pas mau masuk harus kirim kode otp sedang nomor hp yg saya daftarkan di indodax sudah hilang,dan saya sekarang sudah mencoba ganti nomor hp yg baru terus saya kirimkan foto KTP saya malah sampai sekarang belum di ACC,ini gimana keterusan nya!!!!!woi ini gimana kok belom ada kepastian cepat diatasi saldo diakunku 567jt tolong diatasi,gausah pake bahasa Inggris woi pake bahasa Indonesia..!!!!"
2021-11-19 18:48:47,"sumpah lemot banged ini aplikasi , gw udah streaming video, main game, browsing lancar2 aja kecuali aplikasi indodax setelah update makin parah"
2021-11-29 6:00:11,"Parah tolong di perbaiki , masak proses beli aja lama bgt prosesnya, sya beli di jam 2pagi smpe skrng jm 11. 59 blm di proses"
2021-11-19 6:21:24,"aplikasi nya riber, kita sebagai investor verifikasi data aja susah. padahal ini aplikasi bukan kredit pinjaman. sampai sekarang akun saya di reject terus."
2021-11-29 13:20:32,Udah 2 kali di hapus dan duit gua srkarang nyangkut gabisa di tarik ga bisa di beliin ke koin tapi duit naik turun sesuai harga koin yay gua beli sebelum nya pedahal gua udah jual
2021-11-26 0:10:43,Min ni apk gimana masak gua order vidy di 23 nov 2021 di harga 21 masak tanggal 24 harga 21 idr gak clossing .. Gimana s indodax .. Katanya apk paling autentic .. Kok kyak gini bangkrut kah ?
2021-11-30 4:50:25,"Indodax 4n7ing..kenapa g ada pemberitahuan kalo vidy bakal di hapus dari indodax. Masih nyimpan koin msih berharap bulish tau tau hilang. Admin indodax mavia manipulasi uang treder,"
2021-11-20 12:45:46,Suka chat dibanned kalau bicara soal keanehan indodax dan ga kasih penjelasan salahnya apa??? Sepertinya ada apanya indodax ini
2021-11-20 0:13:46,Data saya di Tokocrypto dan Binance bisa diverkfikasi. Tapi di indodax selalu gagal. Aneh.
2021-11-20 3:29:23,Tutup aja lah indodax dah ga profesional Keadaan darurat malah ilang. Verifikasi lama. Login ke akun butuh waktu seminggu nunggunya. Transfer butuh di tereakin call center nya. Enak makan gaji buta 🤣
2021-12-02 0:53:48,"MIN Kalau dari saya mah biyaya TF nya turunin sedikit, soal nya terlalu besar, bukan apa-apa kasian aja sama yang punya modal kecil dapet untung nya juga gak seberapa, bukan nya untung malah Buntung🤦‍♂️"
2021-11-23 13:13:49,"Saat melakukan penarikan dana dari indodax ke BCA membutuhkan waktu yang cukup lama sekitar 5-6 jam padahal biaya transfer nya lumayan mahal 25 ribu rupiah tapi masih aja lama dan lemot, jaman sekarang tuh semua Uda serba online tapi masih aja masih aja ada aplikasi yg lemot kaya indodax ini. Beda sama aplikasi sebelah yg biaya penarikannya cuma goceng, dan penarikan langsung masuk dalam hitungan menit. Agak worry & not recommend nih indodax."
2021-11-14 7:39:45,"Aplikasi sering lemot, buat jual apalagi lama banget al hasil jadi gagal. Ga sesuai sama biaya FEE nya buat WD yang terlalu mahal. Kalo mahal aplikasinya bagus dan ga sering eror sih it's oke. Ini sering eror, buat refresh aja lama banget. Tolong segera perbaiki sistemnya, dan buat CS segera tindak cepat buat yang mengalami kesulitan, udah sulit malah di persulit lagi sama CS nya. Thanks!"
2021-11-23 2:56:47,"maling koin aurora chain dinikmati orang dalam.kaga sesuai ,perpindahan jaringan 1 token bukan official dari koin aurora sendiri .malah dari indodax sendiri.kecewa berat aplikasi indodax.lebi baik aplikasi diluar indodax"
2021-11-07 6:56:25,"Gausah instal bro,, aplikasi pencuri uang,, masak saya withdraw ke trust wallet ga masuk padahal di indodax nya sukses, saya udah ngikutin cara yang bener juga,, di transfer kemana oi duit itu??,,, udah nanya melalui live chat jawaban nya cuma suruh nunggu lagi dalam proses,, proses apa??? Udah 4hari saya ni nunggu masak blm kelar juga,,,, udah balik aja duit itu langsung tak uninstal tapi itu juga kalau balik wkwk,,, udah gausah instal, kecewa!!"
2021-11-21 0:40:22,"Refresh halaman depan/wall hanya muter2 aja, harus keluar aplikasi baru bisa refresh tampilan wall, sudah berkali2 saya ajukan kesupport tapi sampai sekarang tetap aja, tidak pernah dibenahi"
