Date,Index,Content,Sentiment
2021-12-01 6:43:00,0,"Pertama kali main disini dan pro disini lama"" ngerasa ada yang aneh dan nga kuat akhir nya pindah ke platform B,Parahh aslilahh 1x,2x dan akhirnya berkali"" kalau lagi harga tinggi pasti error, suka ngelist coin yang nga ada fungsinya yg ujung nya bakal di delist, Suka ngelist coin baru pas lagi tinggi""nya. Kasihan orang"" awam yang baru gabung.",0
2021-11-30 13:31:30,1,YA ampun platform terbesar di indonesia masih bisa2nya kena tipu. Koin Vidy Vidyx aset masa depan di hold lama malah di delist trus uangnya dikemanain semuanya. Baru download tiba2 koin hilang semua. Astaga kecewa bgt. Dahlah bintang 1 cocok kok ini buat aplikasi.,0
2021-12-01 5:58:21,2,"Indodax sehat???,..... 4hari terakhir ini gx bisa log in, selalu disuruhnya masukan pin,....? berkali2 donlot ulang aplikasi tetap saja sama. klo gx suport sama android 11. Mending didepak aja dari playstore.",0
2021-11-05 0:52:06,3,"Setelah pembaruan malah ngaco indodax ini 1w isinya 1th 3D isinya ???? Dst Why????? Blm siap kok mau update, hmm.. Gopay, mana??q masuk menu gak tersambung tuh sama gopay nya",0
2021-11-23 12:02:41,4,"Sangat mengewakan deposit saya dari tgl 28 okt 2021 sampai saat ini belum masuk juga, saya disuruh menunggu 15 hari kerja sampai saat ini tidak ada laporan balik kesaya...sungguh terlalu ribet cs pelayannya saya email selalu jawaban nya menunggu dan menunggu.........",0
2021-12-01 10:06:23,5,"Buat yang belum download saya saranin ga usah dah doenload indodax , sangat"" merugikan , sering maintenance dah sampai ada koin yang kita beli di indodax tapi tidak bisa di jual kembali ... Inikah exchange no 1 indonesia ????🥱",0
2021-11-18 1:46:10,6,"Tolong dibantu saya udah 1minggu nunggu proses laporan saya WD koin ke dompet(Trust wallet) saya tapi belom diterima sampai saat ini padahal di apk succes, saya cek di bscscan txn nya gaada dan saya cek yg sebelumnya ada semua. Saya sudah coba email kembali namun tidak ada respon sama sekali. Sampai laporannya selesai baru ulasannya saya perbaiki.",1
2021-11-20 1:17:23,8,"Bintang 1 aja,secara keseluruhan sudah baik semua cuma biaya penarikan ke rekeninh terlalu mahal,masa biaya penarikan nya 25.000 kalah sama tokocrypto yg hanya 5000 an",0
2021-12-01 7:41:23,9,Indodax tidak bisa di percaya ... Maaf sebelumnya ..saya beli koin emang tidak banyak harganya pun murah. Buat pelajaran aja .untung masih beli murah gak banyak uang keluar ..tiba tiba kok coinya di hapus apa maksud nya .udah membelu koin tapi kok di hapus ..punya daya harga memang murah tapi itu buat pelajaran .. apalagi beli coin yg mahal gimana coba??.siapa yg tanggung jawab .. Yg iinginn dan yg ingin main indodax mohon di pikirkan dulu ..pelajaran aja ini ..makasih,0
2021-11-30 14:12:48,10,"Plis di perbaiki loading lama banget, coin turun baru bisa lancar, kan jadi kesel nunggu coin naik lama banget sekalinya mau cekout malah loading jadi gak dapet.",0
2021-11-22 14:25:00,11,"Aplikasi nya dah kaya calo, Beli Crypto diharga yg sama masih aja pending giliran turun langsung kebeli giliran naik ya bgtu gak jadi kebeli, jadi nunggu rugi dulu baru bisa beli wkwkwk, Calooo caloo",0
2021-12-01 13:07:23,12,Benerin riwayat transaksi akun ku...rugi aku gara2 bug ni....di bikin full online napa aplikasi nya....jangan hrus reload2 cuma mau tau harga pasar.....,0
2021-11-26 9:02:25,14,Inodax ada apa dengan dirimu hari ini..? Loading lama sekali..' menjawab pertanya'an di live chat pun lama sekali seperti antrian tiket sepak bola.,0
2021-11-30 13:07:12,15,"Market Ampas, bisa2nya nggejual aset yang ngga jelas, nggapain listing di buat dan akhirnya scamm, pakai bilang market nomer satu dan terpercaya",0
