,Date,Content
365,2021-11-07 5:17:15,Kecewa sih karna mau deposit pake BNI malah di hilangin dari fitur transaksi
493,2021-10-27 12:40:37,Membatalkan rencana jual yg sudah di terapkan Lgi ngga bisa kah soalnya mau sclaping nih lgi error' kah indodax?
986,2021-11-14 13:49:30,Mantap
934,2021-11-24 23:56:02,"Ok, tahab belajar klo terbukti bagus en profit terus fullin bintanya"
981,2021-11-15 12:53:03,Baru di coba
817,2021-10-17 7:11:30,"Tolong min, pada fitur funds est. Nilai asset itu ada presentasi kenaikan/penurunan nilai aset dlm idr. Juga baikny ada pada tiap2 aset. Ini menurut ane biar para holder makin sayang sama asetnya wkwkwk."
111,2021-12-02 11:54:35,Duh mau instal koment2 d Bwh gx bgs gx jdi dech auto uninstal
1149,2021-12-02 2:30:01,Jadi tau crypto
281,2021-11-01 3:40:12,Tolong aplikasi di upgrade untuk mempercepat waktu jual beli coin dan juga mengurangi harga fee kaya apk sebelah
513,2021-10-13 2:24:21,"Kasih bintang 3 dlu, klo emg bner* gw bsa provitt.. bru bintang 5"
867,2021-10-10 12:49:22,"halo indodax ,apakah saya bisa depo melalui paypal ??? terimakasih"
970,2021-11-17 7:22:11,Sayang biaya WD terlalu besar
1195,2021-12-01 7:10:08,Tambahin fitur convert antar coin kalo bisa kaya transfet bitcoin ke altcoin gitu misal ny dan perbanyak tambahin coin2 yg baru ke idr kaya shiba dll
1156,2021-12-02 0:40:16,Tabungan masa depan
84,2021-11-02 21:32:24,"Kenapa dari kemaren² tiba² saya tidak bisa login aplikasi mobile? Email, password, pin tdk berfungsi Muter² balik lagi di halaman depan terus Kalau tidak ada solusi Saya pindah apk sebelah aja dah.."
88,2021-10-27 0:20:58,"Baru daftar udah disuguhi trouble, dengan jawaban email belum terdaftar, pada saat register ulang dengan jawaban udah terdaftar.... dibolak balik terus... ujung ujungny login diblokir.... gimana ini aplikasi gak jelas bingit...maaf🙏"
888,2021-10-29 2:10:21,Katanya ada cripto baru IDM tgl 28. Tapi di cek belum muncul .
326,2021-11-19 17:47:55,Setelah update malah ngelag loading mulu padahal sinyal lancar
377,2021-11-04 1:20:07,Kurangin maintenance nya
681,2021-11-14 12:28:28,Tolong untuk diperbaiki/perbarui lagi akhir-akhir ini saya susah masuk dan tanpa alasan keluar sendiri...
706,2021-11-07 6:31:51,Mengapa verifikasi Email untuk foto s lain lama sekali
405,2021-11-27 7:14:29,Klo ada yg delist seharusnya pihak indodax bertanggungjawab minimal sebesar harga pembelian krn tanpa ijin indodax tidak mungkin bs bertransaksi disini. Klo tdk tanggung jawab bisa jadi ada kerjasama yg merugikan trader. Anggota yg delist sangat merugikan trader krn seketika menurunkan harga coin dan msh ada kesempatan mendapatkan keuntungan sebelum check out. Semoga pihak indodax bisa memberikan keadilan bagi trader korban delist.
1057,2021-11-18 6:12:37,"Koin banyak pilihan ,transaksi mudah,lokal punya lagi sip dah"
254,2021-10-28 9:01:12,"Sy member lupa password,pada saat meminta verifikasi kode OTP ke sms no yg teregistrasi tidak pernah ada konfirmasi, maksudnya apa ini"
206,2021-11-18 13:28:34,"No HP saya hilang dan saya mau masuk ga bisa karna ga ada kode otp.. Saya mau pake no baru tp ga bisa, ga di respon sama sekali sama pihak Indosat.. Saya kecewa"
216,2021-11-08 1:27:20,Saran: agar ada persentasi keuntungan kerugian kita bisa ditampilkan. Aplikasi sebelah udah ada tuh. Ayoo perbanyak fitur yg memanjakan pengguna. 💪😊😊
115,2021-12-02 6:25:09,Banyak potongan penyetoran dan penarikan😒
251,2021-11-20 1:23:13,Ni lagi eror ya? Kok ga bisa masuk???
479,2021-11-02 23:57:53,kurangnya cuma satu.... untuk coin usdt gak ada instan order..... jadi susah buat trading..... tiap jual keburu donw
252,2021-10-21 4:44:18,Mohon donk... Kalo mau beli atau jual dipermudah kaya dipeluang kan prosesnya cepet ... Masa harus nunggu bahkan beli diharga rendah giliran dibeli ga bisa sampai harganya naik...
66,2021-11-21 6:05:39,"Market kripto paling busuk di Indonesia, fee transaksi dan penarikan paling mahal tapi pelayanan paling busuk. Uang org triliunan di market masa kalo market lg rame servernya down. Malu2in! Tim IT nya pecat aja!"
953,2021-11-19 17:46:34,Kenapa setiap setelah update jadi lemot
1087,2021-10-26 13:51:02,"Ketika transaksi pasar sedang highh angka / system'nya jadi gak akurat dan lemot banget lebih lemot ketimbang ***** padahal momentum itu NGILANG & DATANG nya sepersekian detik , MAU STOP LOSS / TAKE PROFIT / ENTRY jadi gak jelas status nya ..."
424,2021-11-01 7:24:03,"Mantap gan saya baru buka lgh indodax, ternyata skrng udah ada coin SLP, tapi jaringannya erc20, untuk jaringan erc20 skrng ini biaya gas fee nya sangat amat mahal alias tinggi jadi perlu di pertimbangkan, mungkin coba adakan jaringan via ronin gan,. Maaf baru bisa kasih bintang 3. Mungkin nanti kalau sudah ada jaringan slp via jaringan ronin nanti saya kasih bintang 5. Terima kasih."
477,2021-10-31 13:51:43,"makin lama makin ga efektif, udah order di berapa tapi baru kepasang pas 5 menit kemudian ga jelas pp"
384,2021-11-02 2:59:14,"Kebanyakan perbaikan, gak maksimal bgt sihhhh."
597,2021-10-27 7:09:40,Sering lag klau ada koin pump
514,2021-12-01 5:59:54,Semoga lebih baik lagi
289,2021-11-19 6:18:29,Tolong dong BNI supaya bisa lagi untuk transaksi deposit...
777,2021-10-26 13:43:34,"Pas market lagi bagus malah ngak bisa sel, failed terus hmm"
1071,2021-11-29 2:25:35,Mantap sudah pakai dari 2016.hanya widraw nya mahal 25000 yang lain ada yang 5500
481,2021-11-14 5:36:39,"Kami yang bermodal kecil, untungnya hanya untuk membayar biaya admin 🥲"
250,2021-11-18 1:54:18,Setiap buy/sell crypto lama bangetttt padahal market lagi baguss. trus juga fee penarikannya ga kira² mahal banget.. tolong di sesuaikan lagi indodax
143,2021-12-01 6:07:57,Gini amat .... Biyaya pnarikan nya masa iya sampe 25 rb ga kya broker sblh pling bsr 5 rb....
227,2021-10-28 9:26:03,"Kurang server????? Loading lama, cutloss sering gagal Saldo sering macet, Perbaiki masalah nya dulu jangan ngiklan kesana kesini. pelayanan jadi kurang"
1092,2021-11-02 3:00:59,"Aplikasi ini sangat bagus, dan bisa mendapatkan penghasilan tambahan, Terus tingkatkan aplikasi ini agar semua member selalu nyaman menggunakan nya"
913,2021-12-01 6:37:13,"Awal awal sering maintenance, tapi akhir2 jnj jarahNgd"
463,2021-10-06 1:30:43,Tolong di perbaiki kenapa koin sering error saat mau jual di harga tinggi dan saat mau beli di harga yg lagi merosot
984,2021-11-15 3:58:48,Tolong dong coin raca di listing please
15,2021-11-26 14:37:46,"Market Ampas, bisa2nya nggejual aset yang ngga jelas, nggapain listing di buat dan akhirnya scamm, pakai bilang market nomer satu dan terpercaya"
520,2021-11-01 14:38:14,Bikin pusing saatelakukan Sell Krn harga turun/naik Krn waktu lama di acc
517,2021-11-10 14:21:01,Kenapa gak bisa deposit lewat mandiri lagi sih?
76,2021-11-09 7:51:08,"Sistem kinerja jual beli nya sangat lambat & lelet, berbeda dengan aplikasi pintu & BNB, cara penarikan / transfer jga cukup mahal. Jd. Uninstall lg aja dah"
208,2021-10-21 13:22:38,"Bagaimana si kak aplikasi INDODAX nya, Saya ingin ganti no telepon saya yang lama ke yang baru, tapi setelah saya masukkan kartu identitas (KTP) agak lama gitu proses nya, padahal saya tunggu sekitar 15 menitan, tapi belum selesai juga proses nya,"
39,2021-11-14 12:59:57,"Saya kecewa verifikasi selalu gagal dengan alasan foto ktp tidak sesuai dengan yang sekarang , dan alasan foto buram ... Udah hubungi CS tetap aja alasan yang sama . Padahal saya verifikasi di platform lain masih di terima , kenapa gak ada fitur finger print agar memudahkan user"
466,2021-11-15 2:52:44,Mau nanya kok estimasi aset saya jadi xx.xx jadi ngak bisa ditarek. Itu gimana ya?
186,2021-11-28 0:18:16,Deposit lambat
310,2021-11-26 1:23:03,Dear indodak untuk jumlah koin di AOA indodak kok gak sama dengan website AOA apa perlu di audit dari OJK dlu biar sama
408,2021-11-22 0:13:36,"TXid sukses tapi di cek bscscan tidak ada riwayat transaksi, dan sudah sekian kalinya kecewa. Terimakasih"
1039,2021-11-24 6:04:18,Tempat belajar & praktek langsung alias KKN Semoga tambah maju & berkembang bersama semua member indodax
971,2021-11-17 6:58:37,Bagus
257,2021-10-31 3:49:11,"Kenapa sering error', mau cancel ata buy aja susah tereksekusi nya .. kayak gini terus rugi saya sebagai trader... Perbaiki ....."
538,2021-11-10 14:24:24,Kenapa metode transfer pakai bni tidak bisa
411,2021-11-19 14:54:21,"Indodax tlg dong deposit jgn hanya pakai ovo biayanya lbh mahal seperti semula account bank , klo serba mahal jd males deposit mhn utamakan kepuasan pelanggan"
790,2021-10-23 6:32:33,Biaya untuk penarikan sangat membengongkan 🤭
694,2021-11-10 7:46:11,Saya cobak dl..smga bermanfaat..
491,2021-12-01 6:39:19,VIDY kok gak ada lagi min😢
732,2021-11-02 10:17:08,"Min untuk penarikan melalui dana tolong dong di tmbhin nominalnya.masa cuma 2 jt,kalo mw nrik 4 jt aja btuh dua kali penarikan,jadi makan biaya lagi 2 kali,"
931,2021-11-26 0:37:26,Oke
897,2021-10-21 12:09:48,Verifikasi data diri kameranya kok gelap ya jd gagal terus
1171,2021-12-01 13:12:41,Saya suka saya suka
1152,2021-12-02 1:01:52,Sangat membantu
472,2021-10-08 13:13:17,"Indodax enak kalau top up cuma 10 rb doang, coba withdrawnya 10 rb juga dong, ya ke PULSA juga tidak apa2"
950,2021-11-20 2:13:53,Ko lagi lambat banget ya 2hr ini
688,2021-11-11 14:22:18,ga semua coin ada limit stoplossnya. ditinggal tidur bisa minus 20%. ayo buruan bikin kalo gini terus bisa bisa semuanya pindah ke apknya CZ
589,2021-10-21 4:45:52,Lemot pas jual jadi bisa kepotong🤦🏻
1133,2021-12-02 11:26:25,aplikasi ringan nggak ribet
591,2021-09-10 1:02:39,"please, fix the problem.. ketika harga sedang naik tinggi sering Error gak bisa buat Sell. Sistem memang perlu ditingkatkan lagi.."
486,2021-10-11 6:44:11,"Aplikasi nya saya suka, tapi Untuk verifikasi data nya ribet dan ditolak terus..."
236,2021-11-07 5:17:36,"Deposite bayar admin ,penarikan bayar admin... Mahal lagi admin , belum proses transfer nya harus kita lagi yang bayar admin nya kalo beda bank,, cape dechhh"
5,2021-12-01 10:06:23,"Buat yang belum download saya saranin ga usah dah doenload indodax , sangat"" merugikan , sering maintenance dah sampai ada koin yang kita beli di indodax tapi tidak bisa di jual kembali ... Inikah exchange no 1 indonesia ????🥱"
350,2021-11-11 11:30:08,"Saya kasih 2⭐ dulu ya. Soalnya dari tgl sembilan pemeritahuan email katanya perubahan nomor hp sudah disetujui. Tapi sampai saat ini mau login indodax blm bisa. Verifikasinua masih pake nomor lain. Saya minta ganti nomor, malah dibilang nomor ponsel baru sama dengan nomor lama, padahal verifikasinya indodax masih pake nomor yg hilang. Gimana dong min solusinya...masak saya sudah tidak bisa masuk lagi...tolong ya min 🙏"
501,2021-12-01 6:35:23,Di indodak koin nano ada gak ya... Bingung nyarinya....
725,2021-11-03 5:45:35,bagus
107,2021-12-02 13:13:47,Sangat merugikan
879,2021-11-06 3:12:08,Tinggal dari segi tampilan aplikasi aja kurang simple...
731,2021-11-02 21:27:31,MAU DFTAR SULIT AMAT(USER NAME SUDAH DI GUNAKAN MEMBER LAIN jawabanya terus menerus)MIIN...........gimana tolong pencerahanya.......
1049,2021-11-13 13:46:36,"aplikasi mobile ni sering bug,respon coin lama muncul,market loading ga muncul2signal Uda bagus, kecepatan internet sudah ok,tolong dong aplikasi nya jangan sering bug.versi web lebih cepat daripada aplikasi nya"
471,2021-11-01 3:46:01,"ini gimana sih cara verivikasi ya lewat no hp , ngk di kirim kirim kodenya ke no hp , kesel jadinya"
927,2021-11-26 2:50:46,Aplikasi bagus
335,2021-11-15 2:39:48,Gimana nih kok harganya Coin di Indodax bisa beda dengan Exchange yang lain? Mohon diperbaiki.
462,2021-10-27 1:14:29,Kirim dari metamask lama bgt masuk nya. Kalo depo pake rekening ae cepet.. tingkatin kualitas kecepatannya min.
911,2021-12-01 6:43:47,Gagal trus utk verifikasi nya mohon dipermudah utk verifikasi nya
106,2021-12-02 9:57:15,"Naik tinggi banget padahal, eh duitnya dipotong jual beli sama aja, yg kaya indodax aja, nasabahnya banyakan yg buntung, liat ja bnyk *1 nya, bagi2lah yg ada nanti bangkrut pd kabur. Jual di titik tertentu lngsung kena biaya dicancel ga balik, aplikasi tuyul, Nti karyawannya di PHK, terus maen krypto, dimakan sm developer lain, miskin lagi, karma berlaku cuuuy, malah bisa lebih parah..."
561,2021-10-14 0:53:05,Mau kyc aja susah bet masa 2003 bulannya cuman sampe oktober.
34,2021-11-14 7:39:45,"Aplikasi sering lemot, buat jual apalagi lama banget al hasil jadi gagal. Ga sesuai sama biaya FEE nya buat WD yang terlalu mahal. Kalo mahal aplikasinya bagus dan ga sering eror sih it's oke. Ini sering eror, buat refresh aja lama banget. Tolong segera perbaiki sistemnya, dan buat CS segera tindak cepat buat yang mengalami kesulitan, udah sulit malah di persulit lagi sama CS nya. Thanks!"
830,2021-10-17 14:56:02,"Sementara kasih 4 dulu ya, kalau sampai akhir tahun 2021 bisa tercapai targetnya, baru aku tambah bintangnya..🤗"
1048,2021-11-13 6:11:13,"Pelayanan baik dan aplikasi mudah di mengerti, terus tingkatkan dalam pelayanan dengan tetap Amanah # always be succeed indodax sbg platform terbaik asal Indonesia."
194,2021-11-27 13:13:42,Halo Min Sya Mau Tanya Kenapa Coin Raca Tidak Ada Di Platform Indodax?
1184,2021-12-01 8:23:58,Mantab
374,2021-11-04 13:39:15,"Bgst, ini indodax pas wd koin nominal lumayan masuknya dipending mulu, kalo koin nominal receh cepet masuknya, bgst, kirain wallet terpercaya, malah memperdaya kntl"
415,2021-10-22 12:59:16,"Min, depo saya sampai sekarang belum masuk juga. Biasanya langsung masuk. Sudah 2x lho kayak gini. Hubungi lewat live chat udah nunggu lama malah keputus terus. Tolong diproses sekarang. Saya gak mau tau. Karena udah 2x."
437,2021-10-16 13:55:19,Tolong setiap garis2 analisa yang dibuat di chart tradingviewnya bisa tersimpan otomatis.. jadi bisa melihat history analisa tanpa bolak balik corat coret grafik lagi. Trims
563,2021-10-27 8:01:56,Kok error sih tolong di perbaiki
845,2021-11-26 0:54:06,fee ny terlalu besar buat kita pemain receh
767,,"Susah, transaksi lambat"
1054,2021-10-22 12:58:41,"Sejauh ini memakai Indodax ,tidak ada masalah yg sangat serius,tetap masih nyaman memakaii indodax ,semoga server indodax tdk maintance terus ketika coin pump .semoga indodax lebih sering mengadakan promo agar pemula bisa bergabung ."
