Date,Content,prediction
2021-12-01 06:43:00,pertama kali main disini dan pro disini lama  ngerasa ada yang aneh dan nga kuat akhir nya pindah ke platform b parahh aslilahh x x dan akhirnya berkali  kalau lagi harga tinggi pasti error  suka ngelist coin yang nga ada fungsinya yg ujung nya bakal di delist  suka ngelist coin baru pas lagi tinggi nya  kasihan orang  awam yang baru gabung ,0
2021-11-30 13:31:30,ya ampun platform terbesar di indonesia masih bisanya kena tipu  koin vidy vidyx aset masa depan di hold lama malah di delist trus uangnya dikemanain semuanya  baru download tiba koin hilang semua  astaga kecewa bgt  dahlah bintang  cocok kok ini buat aplikasi ,0
2021-12-01 05:58:21,indodax sehat          hari terakhir ini gx bisa log in  selalu disuruhnya masukan pin       berkali donlot ulang aplikasi tetap saja sama  klo gx suport sama android   mending didepak aja dari playstore ,0
2021-11-05 00:52:06,setelah pembaruan malah ngaco indodax ini w isinya th d isinya      dst why      blm siap kok mau update  hmm   gopay  mana  q masuk menu gak tersambung tuh sama gopay nya,0
2021-11-23 12:02:41,sangat mengewakan deposit saya dari tgl  okt  sampai saat ini belum masuk juga  saya disuruh menunggu  hari kerja sampai saat ini tidak ada laporan balik kesaya   sungguh terlalu ribet cs pelayannya saya email selalu jawaban nya menunggu dan menunggu         ,1
2021-12-01 10:06:23,buat yang belum download saya saranin ga usah dah doenload indodax   sangat  merugikan   sering maintenance dah sampai ada koin yang kita beli di indodax tapi tidak bisa di jual kembali     inikah exchange no  indonesia     🥱,0
2021-11-18 01:46:10,tolong dibantu saya udah minggu nunggu proses laporan saya wd koin ke dompet trust wallet  saya tapi belom diterima sampai saat ini padahal di apk succes  saya cek di bscscan txn nya gaada dan saya cek yg sebelumnya ada semua  saya sudah coba email kembali namun tidak ada respon sama sekali  sampai laporannya selesai baru ulasannya saya perbaiki ,1
2021-11-20 01:17:23,susah ber urusan dengan indodax saya kena tipu malah ga ada bantuan dari indodax sedangkan bukti ada tidak ada dilayani disuruh nunggu terus bikin laporan kepolisian tim indodax ga ada respon cepat cumn dsruh nunggu sdangkan akun penerima dana sdah dibebukakan apa dan dananya ada  apa susahnya dikembalikan kesaya,1
2021-12-01 07:41:23,bintang  aja secara keseluruhan sudah baik semua cuma biaya penarikan ke rekeninh terlalu mahal masa biaya penarikan nya   kalah sama tokocrypto yg hanya  an,2
2021-11-30 14:12:48,indodax tidak bisa di percaya     maaf sebelumnya   saya beli koin emang tidak banyak harganya pun murah  buat pelajaran aja  untung masih beli murah gak banyak uang keluar   tiba tiba kok coinya di hapus apa maksud nya  udah membelu koin tapi kok di hapus   punya daya harga memang murah tapi itu buat pelajaran    apalagi beli coin yg mahal gimana coba   siapa yg tanggung jawab    yg iinginn dan yg ingin main indodax mohon di pikirkan dulu   pelajaran aja ini   makasih,1
