,Date,Content
0,2021-12-01 6:43:00,pertama kali main disini dan pro disini lama  ngerasa ada yang aneh dan nga kuat akhir nya pindah ke platform b parahh aslilahh x x dan akhirnya berkali  kalau lagi harga tinggi pasti error  suka ngelist coin yang nga ada fungsinya yg ujung nya bakal di delist  suka ngelist coin baru pas lagi tinggi nya  kasihan orang  awam yang baru gabung 
1,2021-11-30 13:31:30,ya ampun platform terbesar di indonesia masih bisanya kena tipu  koin vidy vidyx aset masa depan di hold lama malah di delist trus uangnya dikemanain semuanya  baru download tiba koin hilang semua  astaga kecewa bgt  dahlah bintang  cocok kok ini buat aplikasi 
2,2021-12-01 5:58:21,indodax sehat          hari terakhir ini gx bisa log in  selalu disuruhnya masukan pin       berkali donlot ulang aplikasi tetap saja sama  klo gx suport sama android   mending didepak aja dari playstore 
3,2021-11-05 0:52:06,setelah pembaruan malah ngaco indodax ini w isinya th d isinya      dst why      blm siap kok mau update  hmm   gopay  mana  q masuk menu gak tersambung tuh sama gopay nya
4,2021-11-23 12:02:41,sangat mengewakan deposit saya dari tgl  okt  sampai saat ini belum masuk juga  saya disuruh menunggu  hari kerja sampai saat ini tidak ada laporan balik kesaya   sungguh terlalu ribet cs pelayannya saya email selalu jawaban nya menunggu dan menunggu         
5,2021-12-01 10:06:23,buat yang belum download saya saranin ga usah dah doenload indodax   sangat  merugikan   sering maintenance dah sampai ada koin yang kita beli di indodax tapi tidak bisa di jual kembali     inikah exchange no  indonesia     🥱
6,2021-11-18 1:46:10,tolong dibantu saya udah minggu nunggu proses laporan saya wd koin ke dompet trust wallet  saya tapi belom diterima sampai saat ini padahal di apk succes  saya cek di bscscan txn nya gaada dan saya cek yg sebelumnya ada semua  saya sudah coba email kembali namun tidak ada respon sama sekali  sampai laporannya selesai baru ulasannya saya perbaiki 
7,2021-11-20 1:17:23,susah ber urusan dengan indodax saya kena tipu malah ga ada bantuan dari indodax sedangkan bukti ada tidak ada dilayani disuruh nunggu terus bikin laporan kepolisian tim indodax ga ada respon cepat cumn dsruh nunggu sdangkan akun penerima dana sdah dibebukakan apa dan dananya ada  apa susahnya dikembalikan kesaya
8,2021-12-01 7:41:23,bintang  aja secara keseluruhan sudah baik semua cuma biaya penarikan ke rekeninh terlalu mahal masa biaya penarikan nya   kalah sama tokocrypto yg hanya  an
9,2021-11-30 14:12:48,indodax tidak bisa di percaya     maaf sebelumnya   saya beli koin emang tidak banyak harganya pun murah  buat pelajaran aja  untung masih beli murah gak banyak uang keluar   tiba tiba kok coinya di hapus apa maksud nya  udah membelu koin tapi kok di hapus   punya daya harga memang murah tapi itu buat pelajaran    apalagi beli coin yg mahal gimana coba   siapa yg tanggung jawab    yg iinginn dan yg ingin main indodax mohon di pikirkan dulu   pelajaran aja ini   makasih
10,2021-11-22 14:25:00,plis di perbaiki loading lama banget  coin turun baru bisa lancar  kan jadi kesel nunggu coin naik lama banget sekalinya mau cekout malah loading jadi gak dapet 
11,2021-12-01 13:07:23,aplikasi nya dah kaya calo  beli crypto diharga yg sama masih aja pending giliran turun langsung kebeli giliran naik ya bgtu gak jadi kebeli  jadi nunggu rugi dulu baru bisa beli wkwkwk  calooo caloo
12,2021-11-26 9:02:25,benerin riwayat transaksi akun ku   rugi aku gara bug ni    di bikin full online napa aplikasi nya    jangan hrus reload cuma mau tau harga pasar     
13,2021-11-30 13:07:12,tolong min saldo saya kekuras habis  pertama habis jual koin vidy tp belum di kofirmasi  minggu lebih  dan sekarang habis saldo saya 
14,2021-11-20 6:40:00,inodax ada apa dengan dirimu hari ini    loading lama sekali    menjawab pertanya an di live chat pun lama sekali seperti antrian tiket sepak bola 
15,2021-11-26 14:37:46,market ampas  bisanya nggejual aset yang ngga jelas  nggapain listing di buat dan akhirnya scamm  pakai bilang market nomer satu dan terpercaya
16,2021-11-06 10:31:17,kirim koin ke trust wallet gagal mulu   ada apa gerangan indodax  mau sampe kapan maintenance  g beres nih indodax  mending uninstal aja   jangan pakai aplikasi ini  buat pengalaman yg lain koin jg banyak yg maintenance  g profesional
17,2021-12-01 8:02:12,mengecewakan sekali  mau tarik tunai masih belum cair  udah potongannya gede tapi lelet  nyusahin nasabah broo  
18,2021-11-27 7:22:25,kenapa aplikasi nya ga bisa d buka    cuma sampe masukin pin tapi ga terbuka aplikasibnya      
19,2021-11-30 1:23:49,ini merugikan saya    habis maintance coin yg saya buy sdh tdk ada lagi   yg terjadi sya rugi     ini penipuan  
20,2021-11-26 13:24:13,bulan oktober sudah diperingatkan ojk baru hari ini pengumuman delist  informasi hanya untuk broker aja ya  ngotak dikit kau 
21,2021-11-28 0:26:18,apk banyak koin scam merugikan  manipulasi candel klau naik harus beli tapi klau turun bisa sndiri  aneh  jgn main lagi lah yg menang hnya bandar dn indodax  udh diseting  oh ya giliran ngefud yg scam malah di ban  emang ini apk penipu 
22,2021-11-17 0:34:36,halo mengapa permohonan saya belum di acc kenapa akun indodax saya tiba tiba keluar sendiri terus pas mau masuk harus kirim kode otp sedang nomor hp yg saya daftarkan di indodax sudah hilang dan saya sekarang sudah mencoba ganti nomor hp yg baru terus saya kirimkan foto ktp saya malah sampai sekarang belum di acc ini gimana keterusan nya     woi ini gimana kok belom ada kepastian cepat diatasi saldo diakunku jt tolong diatasi gausah pake bahasa inggris woi pake bahasa indonesia      
23,2021-11-19 18:48:47,sumpah lemot banged ini aplikasi   gw udah streaming video  main game  browsing lancar aja kecuali aplikasi indodax setelah update makin parah
24,2021-11-29 6:00:11,parah tolong di perbaiki   masak proses beli aja lama bgt prosesnya  sya beli di jam pagi smpe skrng jm    blm di proses
25,2021-11-19 6:21:24,aplikasi nya riber  kita sebagai investor verifikasi data aja susah  padahal ini aplikasi bukan kredit pinjaman  sampai sekarang akun saya di reject terus 
26,2021-11-29 13:20:32,udah  kali di hapus dan duit gua srkarang nyangkut gabisa di tarik ga bisa di beliin ke koin tapi duit naik turun sesuai harga koin yay gua beli sebelum nya pedahal gua udah jual
27,2021-11-26 0:10:43,min ni apk gimana masak gua order vidy di  nov  di harga  masak tanggal  harga  idr gak clossing    gimana s indodax    katanya apk paling autentic    kok kyak gini bangkrut kah  
28,2021-11-30 4:50:25,indodax ning  kenapa g ada pemberitahuan kalo vidy bakal di hapus dari indodax  masih nyimpan koin msih berharap bulish tau tau hilang  admin indodax mavia manipulasi uang treder 
29,2021-11-20 12:45:46,suka chat dibanned kalau bicara soal keanehan indodax dan ga kasih penjelasan salahnya apa    sepertinya ada apanya indodax ini
30,2021-11-20 0:13:46,data saya di tokocrypto dan binance bisa diverkfikasi  tapi di indodax selalu gagal  aneh 
31,2021-11-20 3:29:23,tutup aja lah indodax dah ga profesional keadaan darurat malah ilang  verifikasi lama  login ke akun butuh waktu seminggu nunggunya  transfer butuh di tereakin call center nya  enak makan gaji buta 🤣
32,2021-12-02 0:53:48,min kalau dari saya mah biyaya tf nya turunin sedikit  soal nya terlalu besar  bukan apa apa kasian aja sama yang punya modal kecil dapet untung nya juga gak seberapa  bukan nya untung malah buntung🤦‍♂️
33,2021-11-23 13:13:49,saat melakukan penarikan dana dari indodax ke bca membutuhkan waktu yang cukup lama sekitar   jam padahal biaya transfer nya lumayan mahal  ribu rupiah tapi masih aja lama dan lemot  jaman sekarang tuh semua uda serba online tapi masih aja masih aja ada aplikasi yg lemot kaya indodax ini  beda sama aplikasi sebelah yg biaya penarikannya cuma goceng  dan penarikan langsung masuk dalam hitungan menit  agak worry   not recommend nih indodax 
34,2021-11-14 7:39:45,aplikasi sering lemot  buat jual apalagi lama banget al hasil jadi gagal  ga sesuai sama biaya fee nya buat wd yang terlalu mahal  kalo mahal aplikasinya bagus dan ga sering eror sih it s oke  ini sering eror  buat refresh aja lama banget  tolong segera perbaiki sistemnya  dan buat cs segera tindak cepat buat yang mengalami kesulitan  udah sulit malah di persulit lagi sama cs nya  thanks 
35,2021-11-23 2:56:47,maling koin aurora chain dinikmati orang dalam kaga sesuai  perpindahan jaringan  token bukan official dari koin aurora sendiri  malah dari indodax sendiri kecewa berat aplikasi indodax lebi baik aplikasi diluar indodax
36,2021-11-07 6:56:25,gausah instal bro   aplikasi pencuri uang   masak saya withdraw ke trust wallet ga masuk padahal di indodax nya sukses  saya udah ngikutin cara yang bener juga   di transfer kemana oi duit itu      udah nanya melalui live chat jawaban nya cuma suruh nunggu lagi dalam proses   proses apa    udah hari saya ni nunggu masak blm kelar juga     udah balik aja duit itu langsung tak uninstal tapi itu juga kalau balik wkwk    udah gausah instal  kecewa  
37,2021-11-21 0:40:22,refresh halaman depan wall hanya muter aja  harus keluar aplikasi baru bisa refresh tampilan wall  sudah berkali saya ajukan kesupport tapi sampai sekarang tetap aja  tidak pernah dibenahi
